country,year,GDP,life_expectancy,pop,decade,region
Abkhazia,1800,NA,NA,NA,1800,Europe & Central Asia
Afghanistan,1800,603,28.211,3280000,1800,South Asia
Akrotiri and Dhekelia,1800,NA,NA,NA,1800,Europe & Central Asia
Albania,1800,667,35.4,410445,1800,Europe & Central Asia
Algeria,1800,716,28.8224,2503218,1800,Middle East & North Africa
American Samoa,1800,NA,NA,8170,1800,East Asia & Pacific
Andorra,1800,1197,NA,2654,1800,Europe & Central Asia
Angola,1800,618,26.98,1567028,1800,Sub-Saharan Africa
Anguilla,1800,NA,NA,2025,1800,America
Antigua and Barbuda,1800,757,33.536,37000,1800,America
Argentina,1800,1507,33.2,534000,1800,America
Armenia,1800,514,33.995,413326,1800,Europe & Central Asia
Aruba,1800,833,34.419,19286,1800,America
Australia,1800,815,34.05,351014,1800,East Asia & Pacific
Austria,1800,1848,34.4,3205587,1800,Europe & Central Asia
Azerbaijan,1800,775,29.165,879960,1800,Europe & Central Asia
Bahamas,1800,1445,35.179,27350,1800,America
Bahrain,1800,1235,30.3,64474,1800,Middle East & North Africa
Bangladesh,1800,876,25.5,19227358,1800,South Asia
Barbados,1800,913,32.124,81729,1800,America
Belarus,1800,608,36.2,2355081,1800,Europe & Central Asia
Belgium,1800,2412,40,3138137,1800,Europe & Central Asia
Belize,1800,579,26.5,25526,1800,America
Benin,1800,597,31,636559,1800,Sub-Saharan Africa
Bermuda,1800,1227,NA,9692,1800,America
Bhutan,1800,629,28.799,89989,1800,South Asia
Bolivia,1800,854,33,1100000,1800,America
Bosnia and Herzegovina,1800,669,35.1,851806,1800,Europe & Central Asia
Botswana,1800,397,33.6,121000,1800,Sub-Saharan Africa
Brazil,1800,1109,32,3639636,1800,America
British Virgin Islands,1800,NA,NA,6700,1800,America
Brunei,1800,1512,29.2,2128,1800,East Asia & Pacific
Bulgaria,1800,1089,35.8,1992320,1800,Europe & Central Asia
Burkina Faso,1800,480,29.2,1665421,1800,Sub-Saharan Africa
Burundi,1800,418,31.5,899097,1800,Sub-Saharan Africa
Cambodia,1800,903,35,2090000,1800,East Asia & Pacific
Cameroon,1800,626,28.75,1860054,1800,Sub-Saharan Africa
Canada,1800,1314,39,645526,1800,America
Cape Verde,1800,529,33.8,55716,1800,Sub-Saharan Africa
Cayman Islands,1800,1039,NA,2439,1800,America
Central African Republic,1800,424,30,479444,1800,NA
Chad,1800,418,30.9,1432000,1800,Sub-Saharan Africa
Channel Islands,1800,NA,NA,43908,1800,Europe & Central Asia
Chile,1800,1026,32,771447,1800,America
China,1800,985,32,321675013,1800,East Asia & Pacific
Christmas Island,1800,NA,NA,NA,1800,East Asia & Pacific
Cocos Island,1800,NA,NA,NA,1800,East Asia & Pacific
Colombia,1800,963,32,1206000,1800,America
Comoros,1800,696,32.1,56346,1800,Sub-Saharan Africa
"Congo, Dem. Rep.",1800,485,31.6,5163819,1800,Sub-Saharan Africa
"Congo, Rep.",1800,575,32.7,314465,1800,Sub-Saharan Africa
Cook Is,1800,NA,NA,16136,1800,NA
Costa Rica,1800,775,30.2147,51987,1800,America
Cote d'Ivoire,1800,812,31.156,1088530,1800,Sub-Saharan Africa
Croatia,1800,NA,36.1,1227886,1800,Europe & Central Asia
Cuba,1800,864,32.2,345043,1800,America
Cyprus,1800,853,38.5,184392,1800,Europe & Central Asia
Czech Republic,1800,1915,34.9544,5516349,1800,NA
Czechoslovakia,1800,NA,NA,NA,1800,Europe & Central Asia
Denmark,1800,2013,37.4055532520793,1062514,1800,Europe & Central Asia
Djibouti,1800,752,29.9,22848,1800,Middle East & North Africa
Dominica,1800,663,NA,19950,1800,America
Dominican Republic,1800,667,29.9,89000,1800,NA
East Germany,1800,NA,NA,NA,1800,Europe & Central Asia
Ecuador,1800,529,32.9,5e+05,1800,America
Egypt,1800,791,33,4243515,1800,Middle East & North Africa
El Salvador,1800,974,28.7,248000,1800,America
Equatorial Guinea,1800,356,29.8,80377,1800,Sub-Saharan Africa
Eritrea,1800,532,30.2,205010,1800,Sub-Saharan Africa
Eritrea and Ethiopia,1800,NA,NA,NA,1800,Sub-Saharan Africa
Estonia,1800,938,36.1419674277376,334136,1800,Europe & Central Asia
Ethiopia,1800,523,29.7,2948990,1800,Sub-Saharan Africa
Faeroe Islands,1800,NA,NA,13537,1800,Europe & Central Asia
Falkland Is (Malvinas),1800,NA,NA,100,1800,NA
Fiji,1800,785,26.1,130533,1800,East Asia & Pacific
Finland,1800,1244,36.5731262034154,977662,1800,Europe & Central Asia
France,1800,1803,33.967170239091,29355111,1800,Europe & Central Asia
French Guiana,1800,NA,30.5,9899,1800,America
French Polynesia,1800,NA,25.6,62530,1800,East Asia & Pacific
Gabon,1800,390,30.6,158227,1800,Sub-Saharan Africa
Gambia,1800,813,28.8,103274,1800,Sub-Saharan Africa
Georgia,1800,543,31.871,1072178,1800,Europe & Central Asia
Germany,1800,1639,38.37,22886919,1800,Europe & Central Asia
Ghana,1800,696,28,2016034,1800,Sub-Saharan Africa
Gibraltar,1800,NA,NA,9873,1800,Europe & Central Asia
Greece,1800,1371,36.6,2151155,1800,Europe & Central Asia
Greenland,1800,393,33.867,9584,1800,Europe & Central Asia
Grenada,1800,959,31.4,29409,1800,America
Guadeloupe,1800,NA,27.655,80726,1800,America
Guam,1800,NA,27.5,6053,1800,East Asia & Pacific
Guatemala,1800,857,25.8,458965,1800,America
Guernsey,1800,NA,NA,NA,1800,Europe & Central Asia
Guinea,1800,450,29.5,983959,1800,Sub-Saharan Africa
Guinea-Bissau,1800,777,32,218167,1800,Sub-Saharan Africa
Guyana,1800,1214,31.12,166034,1800,America
Haiti,1800,633,29,723000,1800,America
Holy See,1800,NA,NA,905,1800,Europe & Central Asia
Honduras,1800,675,33.9,126118,1800,America
"Hong Kong, China",1800,1007,34.9,20000,1800,East Asia & Pacific
Hungary,1800,1249,36,3499771,1800,Europe & Central Asia
Iceland,1800,926,42.8455991183074,61428,1800,Europe & Central Asia
India,1800,1052,25.4424,168574895,1800,South Asia
Indonesia,1800,994,30,16108545,1800,East Asia & Pacific
Iran,1800,977,25.6,6269721,1800,Middle East & North Africa
Iraq,1800,970,31.2,1076920,1800,Middle East & North Africa
Ireland,1800,1447,38.3,4064749,1800,Europe & Central Asia
Isle of Man,1800,NA,NA,23533,1800,Europe & Central Asia
Israel,1800,879,32,209954,1800,Middle East & North Africa
Italy,1800,2225,29.69,18822234,1800,Europe & Central Asia
Jamaica,1800,1170,34.2,401000,1800,America
Japan,1800,1050,36.4,30294378,1800,East Asia & Pacific
Jersey,1800,NA,NA,NA,1800,Europe & Central Asia
Jordan,1800,976,31.7,217000,1800,Middle East & North Africa
Kazakhstan,1800,1140,26.2,2041282,1800,Europe & Central Asia
Kenya,1800,854,25.5,2574000,1800,Sub-Saharan Africa
Kiribati,1800,551,24.9,17876,1800,East Asia & Pacific
North Korea,1800,579,26,4345000,1800,NA
South Korea,1800,576,25.8,9395000,1800,NA
"United Korea (former)
",1800,NA,NA,NA,NA,NA
Kosovo,1800,NA,NA,NA,1800,Europe & Central Asia
Kuwait,1800,1097,26,81280,1800,Middle East & North Africa
