"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","make_orig","make_lower","make_lowerclean","country","z"
"15589",2000,"Acura","NSX","Two Seaters",3,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA,"Acura","acura","acura","Japan","Two Seaters"
"15590",2000,"Acura","NSX","Two Seaters",3.2,"Manual 6-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,NA,NA,"Acura","acura","acura","Japan","Two Seaters"
"15591",2000,"BMW","M Coupe","Two Seaters",3.2,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,23,19,NA,NA,"BMW","bmw","bmw","Germany","Two Seaters"
"15592",2000,"BMW","Z3 Coupe","Two Seaters",2.8,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"BMW","bmw","bmw","Germany","Two Seaters"
"15593",2000,"BMW","Z3 Coupe","Two Seaters",2.8,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"BMW","bmw","bmw","Germany","Two Seaters"
"15594",2000,"BMW","Z3 Roadster","Two Seaters",2.5,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"BMW","bmw","bmw","Germany","Two Seaters"
"15595",2000,"BMW","Z3 Roadster","Two Seaters",2.5,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,NA,NA,"BMW","bmw","bmw","Germany","Two Seaters"
"15596",2000,"BMW","Z3 Roadster","Two Seaters",2.8,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"BMW","bmw","bmw","Germany","Two Seaters"
"15597",2000,"BMW","Z3 Roadster","Two Seaters",2.8,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,NA,NA,"BMW","bmw","bmw","Germany","Two Seaters"
"15598",2000,"BMW","Z8","Two Seaters",4.9,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,12,19,15,NA,NA,"BMW","bmw","bmw","Germany","Two Seaters"
"15612",2000,"Mercedes-Benz","SL500","Two Seaters",5,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,14,21,17,50,8,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Two Seaters"
"15613",2000,"Mercedes-Benz","SL600","Two Seaters",6,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,12,18,14,50,8,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Two Seaters"
"15614",2000,"Mercedes-Benz","SLK230 Kompressor","Two Seaters",2.3,"Automatic 5-spd","4","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,20,27,22,48,10,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Two Seaters"
"15615",2000,"Mercedes-Benz","SLK230 Kompressor","Two Seaters",2.3,"Manual 5-spd","4","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,19,28,22,48,10,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Two Seaters"
"15626",2000,"Audi","TT Coupe","Minicompact Cars",1.8,"Manual 5-spd","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,29,23,65,14,"Audi","audi","audi","Germany","Minicompact Cars"
"15627",2000,"Audi","TT Coupe quattro","Minicompact Cars",1.8,"Manual 5-spd","4","4-Wheel or All-Wheel Drive","Premium",TRUE,FALSE,FALSE,18,26,21,65,11,"Audi","audi","audi","Germany","Minicompact Cars"
"15628",2000,"BMW","323i Convertible","Minicompact Cars",2.5,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,22,18,74,9,"BMW","bmw","bmw","Germany","Minicompact Cars"
"15629",2000,"BMW","323i Convertible","Minicompact Cars",2.5,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,23,19,74,9,"BMW","bmw","bmw","Germany","Minicompact Cars"
"15630",2000,"BMW","M Roadster","Minicompact Cars",3.2,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,23,19,74,9,"BMW","bmw","bmw","Germany","Minicompact Cars"
"15631",2000,"Jaguar","XK8 Convertible","Minicompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,70,10,"Jaguar","jaguar","jaguar","Britain","Minicompact Cars"
"15632",2000,"Jaguar","XKR Convertible","Minicompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,14,20,17,70,10,"Jaguar","jaguar","jaguar","Britain","Minicompact Cars"
"15633",2000,"Mercedes-Benz","CLK320 (Cabriolet)","Minicompact Cars",3.2,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,76,6,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Minicompact Cars"
"15634",2000,"Mercedes-Benz","CLK430 (Cabriolet)","Minicompact Cars",4.3,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,22,18,76,6,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Minicompact Cars"
"15640",2000,"Acura","Integra","Subcompact Cars",1.8,"Automatic 4-spd","4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,21,28,23,80,12.5,"Acura","acura","acura","Japan","Subcompact Cars"
"15641",2000,"Acura","Integra","Subcompact Cars",1.8,"Manual 5-spd","4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,22,28,24,80,12.5,"Acura","acura","acura","Japan","Subcompact Cars"
"15642",2000,"Acura","Integra","Subcompact Cars",1.8,"Manual 5-spd","4","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,22,28,24,80,12.5,"Acura","acura","acura","Japan","Subcompact Cars"
"15646",2000,"BMW","323ci","Subcompact Cars",2.5,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,19,84,9,"BMW","bmw","bmw","Germany","Subcompact Cars"
"15647",2000,"BMW","323ci","Subcompact Cars",2.5,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,84,9,"BMW","bmw","bmw","Germany","Subcompact Cars"
"15648",2000,"BMW","328ci","Subcompact Cars",2.8,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,25,19,84,9,"BMW","bmw","bmw","Germany","Subcompact Cars"
"15649",2000,"BMW","328ci","Subcompact Cars",2.8,"Manual 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,84,9,"BMW","bmw","bmw","Germany","Subcompact Cars"
"15683",2000,"Jaguar","XK8","Subcompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,18,75,11,"Jaguar","jaguar","jaguar","Britain","Subcompact Cars"
"15684",2000,"Jaguar","XKR","Subcompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,15,21,17,75,11,"Jaguar","jaguar","jaguar","Britain","Subcompact Cars"
"15685",2000,"Lexus","SC","Subcompact Cars",3,"Automatic 4-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,22,19,85,9,"Lexus","lexus","lexus","Japan","Subcompact Cars"
"15686",2000,"Lexus","SC","Subcompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,19,85,9,"Lexus","lexus","lexus","Japan","Subcompact Cars"
"15687",2000,"Mercedes-Benz","CLK320","Subcompact Cars",3.2,"Automatic 5-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,81,11,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Subcompact Cars"
"15688",2000,"Mercedes-Benz","CLK430","Subcompact Cars",4.3,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,19,81,11,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Subcompact Cars"
"15742",2000,"Audi","A4","Compact Cars",1.8,"Automatic 5-spd","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,18,28,21,88,14,"Audi","audi","audi","Germany","Compact Cars"
"15743",2000,"Audi","A4","Compact Cars",1.8,"Manual 5-spd","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,29,24,88,14,"Audi","audi","audi","Germany","Compact Cars"
"15744",2000,"Audi","A4","Compact Cars",2.8,"Automatic 5-spd","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,24,19,88,14,"Audi","audi","audi","Germany","Compact Cars"
"15745",2000,"Audi","A4","Compact Cars",2.8,"Manual 5-spd","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,88,14,"Audi","audi","audi","Germany","Compact Cars"
"15746",2000,"Audi","A4 quattro","Compact Cars",1.8,"Automatic 5-spd","4","4-Wheel or All-Wheel Drive","Premium",TRUE,FALSE,FALSE,17,26,20,88,14,"Audi","audi","audi","Germany","Compact Cars"
